,model,BIC,integration,comparison,gb_att,gb_alt,leak,inhibition
173,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-gaze-dependent_inh-free,347.0921,$\times$,comparative,True,False,Gaze,Constant
174,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-gaze-dependent_inh-gaze-dependent,345.612,$\times$,comparative,True,False,Gaze,Gaze
175,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-gaze-dependent_inh-none,344.4738,$\times$,comparative,True,False,Gaze,None
176,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-distance-dependent,422.706,$\times$,comparative,True,False,None,Distance
177,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-free,386.8013,$\times$,comparative,True,False,None,Constant
178,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-gaze-dependent,385.7265,$\times$,comparative,True,False,None,Gaze
179,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-none,381.3331,$\times$,comparative,True,False,None,None
180,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-distance-dependent,250.4213,$\times$,comparative,True,True,Constant,Distance
181,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-free,241.8986,$\times$,comparative,True,True,Constant,Constant
182,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-gaze-dependent,241.785,$\times$,comparative,True,True,Constant,Gaze
183,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-none,236.702,$\times$,comparative,True,True,Constant,None
184,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-distance-dependent,259.1919,$\times$,comparative,True,True,Gaze,Distance
185,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-free,248.4357,$\times$,comparative,True,True,Gaze,Constant
186,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,248.6332,$\times$,comparative,True,True,Gaze,Gaze
187,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-none,243.504,$\times$,comparative,True,True,Gaze,None
188,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-none_inh-distance-dependent,379.0375,$\times$,comparative,True,True,None,Distance
189,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-none_inh-free,335.335,$\times$,comparative,True,True,None,Constant
190,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-true_lk-none_inh-gaze-dependent,335.2831,$\times$,comparative,True,True,None,Gaze
